# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1520530372.851973295211792,0.00528,0.00019,0.00089,0.00404,0.00771,0.00043,0.01854
1520530372.901973485946655,0.00526,0.00022,0.00060,0.00350,0.00177,0.00057,0.01193
1520530373.001623868942261,0.00429,0.00021,0.00038,0.00361,0.00365,0.00072,0.01286
1520530373.051622629165649,0.01369,0.00019,0.00069,0.00425,0.00079,0.00071,0.02032
1520530373.101621866226196,0.00714,0.00014,0.00008,0.00381,0.00022,0.00052,0.01192
1520530373.151620388031006,0.00648,0.00015,0.00038,0.00358,0.00345,0.00056,0.01461
1520530373.301622867584229,0.00856,0.00026,0.00152,0.00343,0.00000,0.00141,0.01518
1520530373.451450824737549,0.00939,0.00026,0.00441,0.00314,0.00000,0.00052,0.01773
1520530373.501450300216675,0.01395,0.00015,0.00099,0.00263,0.00002,0.00057,0.01832
1520530373.551451921463013,0.01265,0.00014,0.00066,0.00283,0.00000,0.00060,0.01687
1520530373.601453304290771,0.01589,0.00013,0.00127,0.00292,0.00000,0.00068,0.02089
1520530373.651454448699951,0.00470,0.00013,0.00036,0.00290,0.00806,0.00068,0.01683
1520530373.701454401016235,0.00761,0.00014,0.00060,0.00348,0.00000,0.00074,0.01257
1520530373.751455068588257,0.00394,0.00014,0.00078,0.00304,0.00001,0.00052,0.00843
1520530373.801600933074951,0.00394,0.00013,0.00444,0.00336,0.00000,0.00061,0.01248
1520530374.051575422286987,0.02489,0.00037,0.00503,0.00086,0.00089,0.00068,0.03273
1520530374.401945114135742,0.02472,0.00044,0.00240,0.00036,0.00000,0.00426,0.03218
1520530374.551950454711914,0.00882,0.00022,0.00004,0.00026,0.00002,0.00050,0.00987
1520530374.602391719818115,0.00580,0.00011,0.00064,0.00023,0.00266,0.00076,0.01021
1520530374.752396106719971,0.00801,0.00029,0.00027,0.00033,0.00287,0.00072,0.01249
1520530374.852399110794067,0.00521,0.00017,0.00146,0.00049,0.00000,0.00074,0.00807
1520530374.902400732040405,0.00404,0.00012,0.00051,0.00064,0.00000,0.00092,0.00623
1520530374.952402114868164,0.00353,0.00014,0.00017,0.00073,0.00180,0.00062,0.00699
1520530375.002426385879517,0.00662,0.00016,0.00030,0.00078,0.00064,0.00057,0.00907
1520530375.052428483963013,0.00487,0.00013,0.00047,0.00083,0.00164,0.00055,0.00850
1520530375.102429628372192,0.00334,0.00011,0.00040,0.00110,0.00000,0.00051,0.00547
1520530375.152432441711426,0.00318,0.00012,0.00105,0.00102,0.00080,0.00046,0.00662
1520530375.202434539794922,0.00351,0.00011,0.00198,0.00111,0.00082,0.00058,0.00812
1520530375.252439975738525,0.00321,0.00012,0.00053,0.00138,0.00688,0.00059,0.01271
1520530375.302438735961914,0.00331,0.00013,0.00110,0.00286,0.00206,0.00059,0.01005
1520530375.352440118789673,0.00311,0.00019,0.00012,0.00297,0.00198,0.00049,0.00886
1520530375.402239799499512,0.00284,0.00013,0.00022,0.00298,0.00531,0.00052,0.01199
1520530375.452202081680298,0.00385,0.00015,0.00150,0.00328,0.00126,0.00050,0.01053
1520530375.552205085754395,0.00411,0.00092,0.00445,0.00331,0.00018,0.00048,0.01345
1520530375.602206707000732,0.00961,0.00016,0.00081,0.00335,0.00102,0.00047,0.01543
1520530375.652206897735596,0.00844,0.00026,0.00031,0.00336,0.00132,0.00048,0.01418
1520530375.702209234237671,0.00467,0.00014,0.00024,0.00436,0.00400,0.00055,0.01397
1520530375.752208948135376,0.01010,0.00015,0.00177,0.00539,0.00000,0.00050,0.01793
1520530376.152252912521362,0.01564,0.00052,0.00414,0.00082,0.00000,0.00044,0.02156
1520530376.202254772186279,0.00664,0.00013,0.00087,0.00061,0.00102,0.00078,0.01003
1520530376.351937770843506,0.01620,0.00033,0.00042,0.00103,0.00000,0.00067,0.01865
1520530376.401939630508423,0.00586,0.00012,0.00100,0.00093,0.00000,0.00059,0.00851
1520530376.501942157745361,0.00515,0.00017,0.00061,0.00071,0.00000,0.00060,0.00724
1520530376.551942110061646,0.00417,0.00011,0.00035,0.00077,0.00000,0.00052,0.00593
1520530376.601942539215088,0.00374,0.00011,0.00105,0.00059,0.00000,0.00060,0.00609
1520530376.652643203735352,0.00359,0.00011,0.00086,0.00084,0.00000,0.00076,0.00616
1520530376.702643394470215,0.00512,0.00011,0.00079,0.00046,0.00000,0.00065,0.00713
1520530376.752645492553711,0.00476,0.00012,0.00154,0.00036,0.00000,0.00058,0.00737
1520530376.802647829055786,0.00429,0.00011,0.00206,0.00036,0.00000,0.00050,0.00732
1520530376.852649688720703,0.00411,0.00015,0.00138,0.00022,0.00000,0.00069,0.00655
1520530376.902654647827148,0.00519,0.00010,0.00268,0.00022,0.00137,0.00060,0.01015
1520530376.952655792236328,0.00369,0.00010,0.00036,0.00016,0.00000,0.00053,0.00485
1520530377.002708196640015,0.00428,0.00010,0.00168,0.00014,0.00410,0.00241,0.01271
1520530377.052885770797729,0.00566,0.00011,0.00095,0.00023,0.00160,0.00059,0.00914
1520530377.102888584136963,0.00451,0.00010,0.00078,0.00026,0.00190,0.00054,0.00809
1520530377.152891397476196,0.00442,0.00011,0.00071,0.00030,0.00260,0.00055,0.00870
1520530377.202894687652588,0.00567,0.00016,0.00030,0.00053,0.00306,0.00053,0.01025
1520530377.252895832061768,0.00434,0.00011,0.00076,0.00096,0.00000,0.00051,0.00668
1520530377.302897691726685,0.00589,0.00011,0.00164,0.00083,0.00388,0.00048,0.01283
1520530377.352897167205811,0.00414,0.00012,0.00016,0.00138,0.00338,0.00042,0.00961
1520530377.402898788452148,0.00416,0.00016,0.00081,0.00187,0.00046,0.00041,0.00788
1520530377.451708793640137,0.00554,0.00016,0.00105,0.00254,0.00340,0.00047,0.01317
1520530377.501710414886475,0.00481,0.00012,0.00069,0.00223,0.00186,0.00052,0.01024
1520530377.551712751388550,0.00512,0.00012,0.00093,0.00220,0.00421,0.00054,0.01313
1520530377.601717233657837,0.00593,0.00017,0.00290,0.00229,0.00191,0.00040,0.01361
1520530377.651721000671387,0.00616,0.00014,0.00045,0.00259,0.00103,0.00050,0.01086
1520530377.701724052429199,0.00800,0.00013,0.00020,0.00211,0.00000,0.00044,0.01087
1520530377.751726150512695,0.00677,0.00012,0.00038,0.00196,0.00024,0.00039,0.00986
1520530377.801726579666138,0.00549,0.00018,0.00040,0.00162,0.00222,0.00048,0.01039
1520530377.851401805877686,0.00936,0.00017,0.00038,0.00186,0.00115,0.00039,0.01333
1520530377.901403903961182,0.00607,0.00013,0.00071,0.00136,0.00063,0.00044,0.00934
1520530378.001407146453857,0.01959,0.00028,0.00196,0.00110,0.00417,0.00160,0.02871
1520530378.051409721374512,0.02088,0.00016,0.00154,0.00127,0.00032,0.00063,0.02480
1520530378.101412296295166,0.01128,0.00012,0.00018,0.00212,0.00000,0.00038,0.01408
1520530378.151414155960083,0.00657,0.00013,0.00036,0.00139,0.00000,0.00039,0.00884
1520530378.351509094238281,0.02979,0.00033,0.00100,0.00051,0.00000,0.00037,0.03199
1520530378.451512098312378,0.01598,0.00020,0.00064,0.00066,0.00001,0.00054,0.01803
1520530378.501512765884399,0.00458,0.00098,0.00013,0.00053,0.00000,0.00042,0.00664
1520530378.702203512191772,0.01497,0.00212,0.00101,0.00014,0.00078,0.00047,0.01949
1520530378.752204895019531,0.00588,0.00010,0.00112,0.00015,0.00002,0.00281,0.01009
1520530378.852209091186523,0.00943,0.00016,0.00086,0.00009,0.00000,0.00048,0.01103
1520530378.902212619781494,0.00412,0.00010,0.00026,0.00008,0.00055,0.00046,0.00558
1520530378.952214002609253,0.00376,0.00010,0.00032,0.00009,0.00000,0.00044,0.00471
1520530379.002216577529907,0.00359,0.00010,0.00043,0.00008,0.00069,0.00061,0.00550
1520530379.052218437194824,0.00382,0.00012,0.00057,0.00134,0.00000,0.00057,0.00643
1520530379.102145671844482,0.00386,0.00010,0.00098,0.00007,0.00123,0.00046,0.00670
1520530379.152147769927979,0.00376,0.00010,0.00053,0.00010,0.00074,0.00050,0.00573
1520530379.202148437500000,0.00332,0.00010,0.00099,0.00015,0.00000,0.00051,0.00507
1520530379.252151966094971,0.00420,0.00010,0.00040,0.00010,0.00293,0.00047,0.00820
1520530379.302153348922729,0.00451,0.00011,0.00167,0.00025,0.00036,0.00044,0.00734
1520530379.352153062820435,0.00357,0.00011,0.00117,0.00025,0.00620,0.00058,0.01187
1520530379.402154684066772,0.00385,0.00011,0.00050,0.00107,0.00001,0.00095,0.00649
1520530379.452155590057373,0.00455,0.00012,0.00105,0.00095,0.00603,0.00054,0.01325
1520530379.501844882965088,0.00646,0.00014,0.00142,0.00142,0.00000,0.00051,0.00994
1520530379.551846742630005,0.00507,0.00012,0.00074,0.00120,0.00168,0.00047,0.00928
1520530379.601847171783447,0.00524,0.00013,0.00077,0.00143,0.00044,0.00055,0.00856
1520530379.651848316192627,0.00650,0.00017,0.00199,0.00118,0.00069,0.00077,0.01131
1520530379.701848506927490,0.00455,0.00015,0.00080,0.00100,0.00167,0.00061,0.00878
1520530379.751849651336670,0.00447,0.00014,0.00052,0.00083,0.00176,0.00058,0.00830
1520530379.801852703094482,0.00531,0.00012,0.00056,0.00080,0.00161,0.00049,0.00890
1520530379.851853847503662,0.00477,0.00012,0.00136,0.00088,0.00107,0.00048,0.00868
1520530379.901817798614502,0.00496,0.00012,0.00051,0.00104,0.00010,0.00049,0.00723
1520530379.951819181442261,0.00480,0.00013,0.00063,0.00104,0.00134,0.00049,0.00842
1520530380.001821041107178,0.00461,0.00012,0.00092,0.00136,0.00045,0.00053,0.00799
1520530380.051823139190674,0.00462,0.00012,0.00321,0.00144,0.00096,0.00060,0.01095
1520530380.101823568344116,0.00447,0.00013,0.00059,0.00110,0.00141,0.00055,0.00824
1520530380.151826381683350,0.00536,0.00012,0.00085,0.00099,0.00089,0.00045,0.00866
1520530380.201884031295776,0.00470,0.00057,0.00180,0.00117,0.00355,0.00048,0.01227
1520530380.251831293106079,0.00591,0.00014,0.00022,0.00145,0.00021,0.00049,0.00843
